concept,x1,x2,x3,x4,x5,x6
true,1,18,7,12,24,21
true,4,22,7,1,17,13
true,23,2,6,15,12,20
true,10,2,24,14,21,17
true,11,8,22,4,17,14
true,1,9,14,20,5,23
true,10,23,4,7,19,15
true,17,23,13,1,20,10
true,4,15,19,12,22,1
true,8,14,22,17,11,3
true,20,5,16,1,8,23
true,17,23,5,9,1,13
true,2,6,16,21,13,10
true,23,18,6,3,9,12
true,10,24,16,13,7,4
true,6,2,13,24,10,18
true,11,18,8,22,1,14
true,6,21,12,2,24,16
true,18,8,14,24,1,4
true,20,5,11,23,1,8
true,16,9,1,22,6,13
true,8,1,5,24,17,13
true,2,12,16,21,8,5
true,16,1,12,21,8,5
true,15,21,24,12,18,7
true,15,23,20,8,12,2
true,9,21,6,24,2,12
true,4,11,1,24,8,16
true,13,1,16,5,24,19
true,21,24,9,17,3,14
true,1,4,9,16,19,23
true,17,9,21,2,13,6
true,11,23,15,7,18,1
true,6,21,17,14,11,24
true,10,15,18,21,5,2
true,24,11,17,4,21,7
true,3,6,12,9,16,22
true,12,9,24,21,6,3
true,20,5,12,15,23,2
true,23,2,16,6,12,20
true,18,1,13,24,10,5
true,4,17,9,1,24,12
true,6,23,3,10,15,18
true,20,1,4,23,7,15
true,5,17,14,20,9,24
true,22,9,13,2,5,16
true,13,24,5,9,19,16
true,12,4,1,15,20,9
true,21,11,24,5,16,2
true,12,24,18,4,9,15
true,16,24,20,12,4,1
true,23,13,10,3,19,16
true,17,1,14,4,22,11
true,5,8,19,13,16,24
true,16,20,3,24,12,9
true,13,17,2,10,5,23
true,2,13,10,22,6,18
true,1,23,18,4,13,7
true,12,22,16,19,3,7
true,21,1,5,18,15,10
true,6,17,22,9,12,1
true,6,3,24,16,13,9
true,23,12,9,20,15,3
true,9,16,5,22,13,2
true,20,10,7,16,24,13
true,8,2,5,24,19,11
true,5,20,9,1,24,16
true,24,18,13,8,4,21
true,11,2,20,6,23,14
true,14,2,20,17,8,11
true,12,5,8,17,24,20
true,12,18,24,7,15,2
true,10,15,18,23,5,1
true,9,16,1,23,6,13
true,20,23,6,3,13,16
true,4,1,23,10,20,14
true,24,1,4,21,8,11
true,3,15,18,23,11,6
true,10,6,2,13,24,19
true,2,13,10,6,20,16
true,16,1,6,24,11,19
true,16,5,19,1,8,13
true,14,23,1,6,9,18
true,16,1,7,13,4,10
true,10,19,4,1,7,23
true,1,24,15,5,21,18
true,4,24,10,13,20,1
true,16,7,19,23,10,3
true,6,2,23,16,20,10
true,18,3,10,6,23,15
true,1,17,14,9,24,20
true,16,11,8,22,1,4
true,24,5,15,12,1,8
true,21,16,4,10,1,24
true,1,10,18,14,6,21
true,16,20,11,8,3,24
true,19,8,4,1,24,11
true,3,11,15,19,22,7
true,7,1,11,21,17,4
true,24,4,20,7,16,13
true,9,13,22,16,19,1
true,24,5,9,12,20,16
true,21,15,2,10,24,6
true,14,17,20,10,2,7
true,2,21,14,17,24,8
true,19,1,9,4,13,24
true,9,6,20,17,13,3
true,6,24,16,3,13,10
true,24,9,12,17,3,6
true,23,1,9,12,17,20
true,8,13,17,1,20,4
true,1,15,23,12,4,9
true,2,9,24,12,17,5
true,13,4,24,8,21,16
true,1,24,17,4,12,20
true,20,16,13,6,1,10
true,7,24,11,15,19,4
true,2,14,17,9,20,24
true,14,17,5,23,9,1
true,2,24,10,7,14,17
true,22,18,1,9,6,14
true,16,23,19,5,2,12
true,23,13,1,6,16,10
true,17,1,20,23,8,14
true,7,20,10,1,15,23
true,17,1,14,20,9,24
true,22,14,9,18,6,3
true,13,7,10,2,18,23
true,23,9,6,15,12,2
true,13,10,2,5,16,22
true,9,23,19,16,2,6
true,13,7,10,2,23,19
true,1,17,20,10,5,23
true,4,7,20,17,14,1
true,1,13,21,18,7,10
true,6,2,13,9,20,24
true,5,24,1,18,21,14
true,1,8,19,12,4,15
true,5,20,24,15,9,1
true,23,6,10,17,13,1
true,1,13,18,23,10,6
true,23,17,4,12,7,20
true,1,4,7,17,24,20
true,15,12,8,1,5,18
true,9,12,23,2,20,6
true,3,9,20,16,6,13
true,14,19,4,9,1,23
true,11,1,24,14,4,8
true,2,5,9,24,17,20
true,17,7,20,14,23,4
true,3,14,11,24,17,20
true,8,1,24,12,4,18
true,4,8,1,20,23,17
true,9,18,21,5,1,13
true,14,2,7,24,18,10
true,13,5,9,18,21,24
true,8,11,20,24,3,17
true,1,21,4,15,24,7
true,2,17,22,10,14,5
true,17,12,6,3,9,24
true,5,2,16,8,12,21
true,13,1,23,10,6,16
true,1,18,4,15,9,24
true,24,9,14,4,19,1
true,20,11,4,24,14,8
true,21,24,11,14,4,7
true,1,24,8,14,18,11
true,2,10,20,15,5,23
true,13,6,19,1,9,23
true,19,3,15,12,6,23
true,24,12,9,20,15,6
true,13,8,23,4,1,20
true,3,19,24,16,7,12
true,3,24,18,10,15,6
true,4,14,24,17,7,20
true,10,16,5,2,19,23
true,5,8,23,13,16,20
true,13,24,6,17,20,1
true,6,23,10,18,3,13
true,8,22,1,17,14,4
true,2,17,21,13,7,10
true,8,17,24,5,2,14
true,2,20,8,13,16,24
true,24,7,10,21,2,14
true,22,14,5,17,1,11
true,21,14,1,8,24,17
true,21,24,18,5,9,1
true,13,1,10,24,5,16
true,24,2,21,14,6,11
true,4,1,14,8,24,20
true,22,7,1,18,4,14
true,2,17,20,5,12,23
true,1,9,13,16,22,6
true,1,19,24,5,9,16
true,23,20,5,11,1,15
true,10,6,3,14,23,20
true,1,17,4,24,9,12
true,17,5,14,11,20,2
true,17,12,24,9,2,5
true,22,7,13,16,4,10
true,1,15,4,18,23,7
true,12,24,9,1,20,17
true,5,9,24,16,2,21
true,20,1,24,16,9,4
true,23,11,3,7,20,14
true,20,23,6,12,16,1
true,10,1,4,21,7,15
true,10,1,23,19,14,4
true,12,4,7,22,1,16
true,18,13,1,21,6,10
true,2,22,11,14,7,19
true,15,18,23,3,8,11
true,21,5,2,12,16,24
true,1,10,20,23,15,7
true,24,8,12,4,1,16
true,9,3,12,6,16,22
true,9,13,5,22,1,17
true,13,18,4,24,8,1
true,1,16,4,8,21,24
true,16,9,3,6,13,24
true,5,24,11,2,18,15
true,6,24,17,11,20,1
true,22,2,14,5,10,19
true,6,24,9,15,18,1
true,9,20,16,4,24,1
true,18,15,4,12,1,23
true,23,20,11,1,4,14
true,3,12,20,17,7,23
true,15,8,24,18,3,11
true,17,24,7,12,4,21
true,16,21,24,9,3,6
true,8,21,24,5,1,17
true,13,9,1,16,23,20
true,16,11,20,8,24,1
true,23,11,20,8,1,16
true,24,13,10,2,6,21
true,9,6,22,16,3,19
true,18,11,8,15,1,4
true,3,18,6,9,24,13
true,2,23,8,13,20,16
true,15,6,2,20,11,24
true,9,14,19,23,6,1
true,11,21,17,8,5,1
true,2,17,5,12,20,24
true,15,21,7,11,18,3
true,6,21,17,9,13,2
true,23,1,16,9,4,19
true,2,10,7,24,16,13
true,4,24,1,17,8,11
true,7,18,21,3,15,12
true,12,16,2,7,23,20
true,24,12,15,21,8,1
true,3,13,19,6,23,9
true,14,1,21,5,24,10
true,1,11,7,22,18,15
true,1,8,17,24,5,13
true,6,2,19,23,15,12
true,19,23,4,1,9,13
true,22,5,13,19,16,9
true,12,9,17,5,24,21
true,1,12,5,8,19,23
true,10,13,17,23,4,20
true,4,11,1,14,24,18
true,18,3,22,7,15,11
true,1,22,14,11,4,17
true,20,3,8,11,17,14
true,17,24,4,12,21,9
true,10,5,19,2,13,16
true,17,11,23,8,1,4
true,18,11,5,23,1,8
true,10,5,14,2,20,23
true,5,24,1,12,18,21
true,20,17,7,13,1,10
true,10,7,13,2,16,22
true,2,13,17,24,5,20
true,3,7,18,24,14,21
true,20,1,24,12,17,9
true,1,19,6,24,9,12
true,5,14,17,10,23,2
true,2,16,24,13,20,6
true,16,12,8,20,2,24
true,20,11,5,23,17,14
true,8,20,15,5,2,11
true,17,9,13,4,23,20
true,24,20,11,1,8,17
true,10,24,4,7,1,16
true,8,11,2,15,18,23
true,20,17,3,6,14,11
true,1,17,9,6,21,12
true,6,22,16,11,2,19
true,16,12,22,6,9,19
true,16,7,24,1,4,20
true,20,12,16,24,2,5
true,8,20,2,5,15,24
true,13,9,3,6,16,19
true,20,7,16,4,10,23
true,7,24,14,3,10,21
true,19,16,9,2,23,12
true,15,4,12,22,1,7
true,13,20,10,5,2,23
true,1,19,23,6,12,16
true,11,24,6,3,18,14
true,10,13,7,22,18,3
true,3,6,17,23,9,20
true,6,24,21,16,12,1
true,17,2,23,8,14,11
true,1,10,14,24,5,19
true,8,11,18,4,24,21
true,24,1,7,4,16,10
true,11,5,19,8,24,14
true,18,8,24,14,11,2
true,24,6,10,18,1,15
true,1,17,6,24,9,21
true,24,7,16,12,20,3
true,4,10,19,7,24,13
true,11,8,5,18,2,24
true,3,24,18,21,6,14
true,23,2,18,11,8,14
true,1,16,4,13,10,21
true,12,4,22,19,15,7
true,14,18,24,4,1,10
true,14,2,17,20,9,23
true,16,10,7,21,24,1
true,9,5,1,16,12,24
true,20,14,11,6,23,17
true,20,24,17,4,12,7
true,24,20,1,5,10,14
true,17,23,6,9,14,2
true,5,8,11,16,1,23
true,6,2,9,24,21,18
true,14,24,11,17,7,20
true,11,2,19,15,24,6
true,1,20,6,17,23,13
true,22,8,13,1,17,4
true,12,18,6,2,15,23
true,24,1,4,11,7,18
true,18,6,12,23,3,15
true,1,9,17,13,4,22
true,12,21,7,4,1,15
true,12,3,19,16,24,8
true,1,16,7,13,19,24
true,14,24,9,18,6,3
true,6,9,2,12,24,15
true,1,23,12,4,18,7
true,6,24,17,13,20,2
true,9,17,6,20,2,12
true,1,23,5,9,20,13
true,24,4,15,19,12,1
true,17,7,10,1,21,14
true,11,20,23,17,5,1
true,2,15,18,5,10,22
true,14,17,5,1,20,11
true,8,20,13,1,4,17
true,3,6,17,14,20,11
true,8,1,12,20,17,4
true,15,18,21,1,10,7
true,1,16,20,4,23,10
true,20,23,15,8,5,11
true,20,16,11,7,4,24
true,3,22,10,15,7,19
true,2,7,21,24,13,16
true,10,7,15,4,19,1
true,4,18,24,15,11,8
true,21,13,1,7,10,4
true,12,2,24,15,7,19
true,4,12,15,1,7,21
true,20,13,5,2,9,23
true,20,17,3,6,13,24
true,3,24,6,12,9,15
true,7,16,3,24,21,13
true,1,13,24,5,9,21
true,24,8,2,17,20,14
true,20,2,6,14,24,10
true,10,23,16,2,6,19
true,12,9,20,15,5,23
true,9,6,16,2,12,24
true,17,14,10,3,7,20
true,4,20,10,16,23,13
true,15,1,5,24,21,10
true,16,19,7,12,22,2
true,8,1,24,5,21,14
true,6,21,1,10,13,24
true,24,8,2,20,11,16
true,14,17,5,9,21,1
true,13,21,8,18,2,24
true,23,7,11,2,14,18
true,18,3,24,11,14,7
true,21,1,17,5,9,24
true,13,10,16,19,4,7
true,14,18,24,10,7,3
true,8,12,24,19,3,15
true,6,9,24,15,2,21
true,23,1,9,5,13,20
true,8,12,1,5,24,17
true,6,15,1,11,20,23
true,19,7,12,15,24,4
true,2,10,24,6,15,20
true,12,9,1,17,5,24
true,21,7,17,1,14,10
true,5,24,17,10,2,21
true,6,21,17,2,24,13
true,15,7,23,20,12,1
true,9,6,24,3,13,20
true,19,13,23,1,10,16
true,6,24,9,21,12,3
true,14,21,10,2,7,24
true,9,18,13,6,3,22
true,12,1,6,21,9,18
true,1,12,7,4,20,17
true,11,23,20,8,3,16
true,19,14,22,11,6,2
true,16,20,23,9,13,4
true,20,14,24,11,1,5
true,9,1,16,5,20,24
true,14,23,5,20,1,9
true,6,14,18,3,9,24
true,2,20,10,23,5,13
true,4,1,15,18,24,21
true,15,12,8,4,18,23
true,6,9,18,21,15,2
true,9,16,12,21,3,24
true,8,11,24,5,2,21
true,23,15,12,5,1,20
true,5,10,18,24,21,13
true,11,2,15,18,7,21
true,2,18,9,21,12,24
true,14,9,18,24,4,1
true,3,9,16,19,22,12
true,11,23,5,2,18,14
true,22,5,8,11,15,19
true,12,16,9,5,2,20
true,15,2,8,19,24,5
true,19,6,22,16,3,11
true,6,23,17,9,1,13
true,12,7,16,24,3,20
true,15,1,18,24,4,12
true,18,23,1,4,12,8
true,18,15,24,1,12,6
true,8,5,1,20,24,12
true,12,9,3,17,24,20
true,11,8,23,19,2,16
true,5,15,23,1,18,12
true,24,3,15,20,11,8
true,11,23,8,16,19,3
true,10,22,1,17,5,14
true,15,12,18,21,4,1
true,17,21,13,1,10,24
true,24,7,10,17,14,4
true,14,23,10,7,18,3
true,11,4,23,20,8,15
true,22,19,3,6,14,10
true,17,24,12,20,3,8
true,20,17,8,24,12,2
true,10,19,2,23,15,7
true,17,20,7,24,13,1
true,16,7,10,13,23,3
true,21,18,1,10,7,15
true,4,17,7,24,1,12
true,23,1,12,7,19,16
true,15,7,23,12,20,1
true,24,20,17,13,5,10
true,20,8,17,5,14,23
true,12,17,21,5,24,2
true,22,8,18,1,4,12
true,15,24,21,18,11,6
true,12,17,9,21,5,2
true,14,17,23,7,10,3
true,17,13,9,22,1,6
true,9,24,13,20,3,16
true,11,24,3,21,14,7
true,19,6,23,9,12,2
true,2,15,23,18,5,10
true,17,23,9,2,6,20
true,13,16,20,24,8,2
true,1,7,4,14,23,10
true,22,13,1,7,18,4
true,17,12,5,24,1,21
true,16,9,24,20,12,3
true,24,13,1,10,16,7
true,24,13,20,10,17,4
true,13,18,8,1,21,5
true,13,20,17,3,10,24
true,23,7,1,12,20,15
true,1,15,9,22,4,12
true,18,6,9,14,24,2
true,5,23,12,20,17,1
true,5,8,24,14,11,19
true,16,8,24,13,21,3
true,15,11,23,8,18,5
true,19,10,15,1,22,6
true,13,1,5,24,20,16
true,24,7,21,14,4,17
true,12,21,16,9,6,3
true,13,17,8,20,1,23
true,5,1,24,11,8,16
true,11,4,24,17,1,20
true,1,23,8,11,17,20
true,17,1,14,24,20,10
true,5,8,11,24,1,19
true,13,10,24,4,7,17
true,4,18,24,9,21,13
true,5,13,18,10,2,22
true,1,9,12,6,20,24
true,15,7,24,18,4,11
true,9,14,1,4,19,22
true,11,1,14,18,22,4
true,17,21,1,10,7,24
true,9,16,3,21,24,12
true,10,24,4,15,7,1
true,16,11,8,5,21,2
true,11,17,3,7,23,14
true,7,18,21,10,1,14
true,3,10,16,20,13,7
true,12,23,8,15,18,4
true,1,17,5,20,9,23
true,3,13,24,7,19,10
true,24,10,5,1,15,21
true,24,21,8,13,5,1
true,12,22,18,2,5,8
true,6,24,12,20,17,2
true,1,10,15,4,24,21
true,21,2,17,5,11,14
true,23,1,19,4,12,16
true,13,19,6,24,16,10
true,2,10,7,16,23,13
true,19,24,11,5,8,15
true,18,15,22,12,7,1
true,19,23,2,13,5,8
true,15,12,2,20,6,23
true,11,3,18,15,6,24
true,1,4,16,22,19,9
true,9,16,6,2,12,22
true,18,9,21,12,1,5
true,10,17,24,21,3,6
true,12,4,21,9,18,15
true,14,17,6,1,10,24
true,3,11,15,19,24,6
true,6,13,20,17,23,3
true,20,1,5,13,24,16
true,18,1,5,21,14,24
true,2,11,20,23,8,15
true,5,16,19,23,1,11
true,18,4,22,1,9,13
true,5,12,21,1,17,9
true,6,19,15,22,11,1
true,4,1,8,16,13,23
true,23,19,1,9,5,16
true,3,23,12,17,20,9
true,14,10,17,1,7,24
true,20,11,15,1,8,4
true,13,21,3,10,17,6
true,24,12,9,5,16,20
true,22,14,11,2,7,18
true,21,24,1,6,11,17
true,4,15,18,23,10,7
true,21,10,24,3,18,7
true,12,20,24,8,4,1
true,14,24,10,18,1,6
true,4,10,7,23,14,19
true,4,24,12,20,15,8
true,5,9,20,2,13,23
true,14,9,6,23,1,20
true,11,17,4,1,14,7
true,23,20,16,2,5,11
true,18,9,6,1,24,14
true,19,13,16,8,23,5
true,14,9,17,20,1,6
true,1,4,12,20,17,23
true,17,21,1,10,4,14
true,13,1,23,18,4,10
true,24,5,21,2,14,11
true,1,20,7,10,16,24
true,2,6,12,24,16,19
true,9,24,14,21,4,18
true,9,5,17,23,20,12
true,1,7,4,16,23,19
true,24,1,8,18,13,4
true,9,6,16,21,12,3
true,7,20,17,4,1,14
true,2,14,17,5,11,21
true,5,10,18,2,15,22
true,1,18,11,14,23,7
true,6,22,10,13,19,16
true,24,13,21,4,16,9
true,17,23,5,8,14,1
true,21,3,18,13,7,24
true,24,20,1,4,17,12
true,10,21,5,15,1,18
true,10,17,3,6,14,20
true,24,7,10,20,1,16
true,17,24,8,2,21,12
true,21,24,18,1,5,9
true,10,13,22,3,7,16
true,17,6,3,22,14,9
true,20,6,1,23,15,11
true,15,20,10,5,24,1
true,6,11,16,2,20,23
true,10,16,2,7,21,24
true,6,16,9,2,13,23
true,14,6,24,20,2,11
true,5,18,1,14,22,10
true,23,20,7,2,14,17
true,7,10,24,17,13,1
true,15,22,3,6,10,19
true,13,1,17,4,9,23
true,20,2,17,24,5,11
true,13,7,10,16,2,23
true,24,21,4,7,11,17
true,12,23,5,20,2,16
true,1,4,17,14,24,20
true,4,20,7,17,24,11
true,11,4,17,23,7,14
true,7,13,23,1,4,16
true,10,7,1,22,4,13
true,13,23,9,5,20,1
true,2,14,6,20,9,17
true,21,24,5,9,16,2
true,17,2,11,6,14,22
true,2,9,16,22,13,5
true,23,20,3,9,6,13
true,5,24,12,9,2,21
true,10,21,18,13,7,1
true,16,23,20,1,11,7
true,4,24,9,13,1,20
true,6,19,1,12,24,16
true,15,8,2,5,12,22
true,10,21,18,7,14,2
true,24,6,3,16,11,21
true,12,18,6,2,9,24
true,19,15,3,8,12,23
true,6,21,13,2,9,24
true,1,10,13,16,4,21
true,24,5,1,16,21,10
true,17,20,12,7,24,2
true,14,5,1,17,21,10
true,18,5,12,15,8,21
true,5,1,17,13,24,9
true,21,7,14,17,4,10
true,15,3,20,9,23,12
true,9,4,21,12,24,1
true,6,1,22,16,19,12
true,21,14,5,10,1,17
true,13,20,16,5,10,24
true,3,24,21,13,8,16
true,6,23,3,9,12,15
true,17,1,22,5,8,11
true,9,4,15,24,12,1
true,23,20,2,12,7,16
true,9,1,17,6,21,13
true,2,16,13,7,19,24
true,6,13,23,9,2,16
true,21,12,18,1,5,15
true,21,16,10,13,4,1
true,22,4,1,10,14,7
true,11,17,5,20,14,2
true,22,12,15,18,9,6
true,17,3,14,21,10,7
true,22,1,11,4,8,19
true,20,16,1,5,12,8
true,12,2,5,8,18,15
true,5,23,13,2,9,17
true,22,6,14,19,1,11
true,22,19,4,13,7,10
true,14,9,6,24,17,2
true,18,15,21,10,2,6
true,23,10,1,14,4,17
true,23,1,15,11,6,20
true,13,24,4,8,1,16
true,11,16,4,7,20,24
true,20,1,4,8,16,11
true,4,23,14,17,7,10
true,23,18,15,8,4,11
true,8,5,11,1,22,19
true,5,8,22,15,1,12
true,13,16,8,5,1,21
true,10,2,13,16,5,24
true,19,5,13,23,16,9
true,2,13,17,23,20,5
true,1,14,4,22,19,10
true,18,12,15,2,21,5
true,9,4,19,16,1,12
true,15,23,20,12,9,6
true,14,11,17,24,21,4
true,8,14,1,18,11,4
true,24,7,21,10,4,16
true,10,13,20,23,5,2
true,2,13,24,21,16,7
true,13,18,1,24,21,7
true,7,22,14,1,10,4
true,9,20,16,13,24,4
true,20,2,23,5,10,15
true,11,23,2,20,15,5
true,9,12,3,18,24,15
true,5,9,20,14,1,17
true,20,17,14,2,7,23
true,24,21,11,14,2,18
true,1,13,10,4,23,16
true,18,1,7,13,21,24
true,13,8,1,22,19,5
true,6,21,17,12,3,9
true,11,23,17,14,8,4
true,18,6,24,15,21,1
true,16,1,19,4,24,7
true,14,20,9,2,24,6
true,14,6,21,24,10,1
true,14,20,6,9,1,23
true,4,13,23,1,20,9
true,1,21,8,18,5,24
true,2,24,7,20,14,10
true,23,4,13,7,20,1
true,16,12,4,7,21,1
true,8,4,11,15,1,23
true,18,13,2,9,21,24
true,8,23,4,19,13,1
true,24,1,12,15,20,4
true,23,10,13,3,7,16
true,5,2,21,9,12,17
true,16,23,20,4,13,8
true,13,23,10,18,3,7
true,14,6,10,17,3,22
true,4,9,15,12,18,22
true,2,9,24,5,21,15
true,1,18,21,8,4,24
true,21,5,24,9,2,14
true,24,20,1,13,9,17
true,21,16,13,24,1,7
true,14,21,6,10,18,2
true,16,4,1,9,19,13
true,1,24,17,8,21,12
true,16,8,5,2,19,11
true,1,14,23,17,8,11
true,5,12,2,24,16,20
true,17,14,20,1,11,8
true,2,10,23,5,19,16
true,21,11,3,8,24,14
true,16,11,21,3,7,24
true,24,14,11,6,17,3
true,24,4,15,1,18,12
true,5,2,17,9,12,21
true,16,19,11,3,24,7
true,17,6,3,20,23,11
true,9,22,14,18,2,6
true,5,13,10,1,20,16
true,8,12,1,4,20,24
true,2,11,23,5,20,16
true,12,21,9,6,24,15
true,7,14,10,18,2,22
true,2,17,5,21,14,9
true,19,1,7,4,13,22
true,6,21,10,2,18,13
true,2,24,20,5,10,17
true,6,24,16,20,2,13
true,5,21,10,13,24,2
true,9,15,12,2,20,6
true,24,2,9,5,20,14
true,5,8,20,1,16,12
true,4,22,16,8,11,1
true,4,11,14,21,17,7
true,13,8,2,19,22,5
true,19,11,23,7,1,15
true,2,21,14,11,18,24
true,1,4,14,10,21,7
true,16,20,3,24,9,13
true,20,15,12,24,9,3
true,20,11,24,4,7,1
true,6,10,1,20,23,16
true,23,16,4,19,1,10
true,1,21,5,16,12,24
true,6,19,2,16,22,11
true,1,16,23,9,6,20
true,22,19,14,10,7,1
true,1,18,15,4,12,7
true,20,4,9,12,17,1
true,24,6,13,3,16,10
true,14,1,17,4,22,8
true,10,7,4,1,15,24
true,12,2,17,9,6,24
true,6,10,17,3,21,24
true,2,10,14,17,23,7
true,7,23,10,16,2,13
true,6,14,11,17,20,24
true,23,5,10,15,1,20
true,23,13,3,7,17,10
true,6,21,18,14,24,9
true,16,24,9,4,19,12
true,2,9,6,16,24,21
true,23,3,12,19,9,6
true,21,13,2,7,17,24
true,20,1,5,16,12,23
true,16,8,23,19,11,4
true,6,21,12,15,9,24
true,15,2,5,18,24,10
true,18,8,22,1,11,15
true,5,8,14,20,11,2
true,17,20,24,9,1,4
true,11,17,3,21,24,6
true,12,5,8,17,20,1
true,21,12,2,5,24,15
true,2,10,24,13,17,5
true,11,23,16,8,19,4
true,5,2,18,24,12,21
true,12,18,15,24,2,5
true,21,11,2,8,15,18
true,1,4,21,14,8,18
true,10,21,13,6,17,3
true,7,13,24,21,2,18
true,13,6,24,18,9,2
true,9,1,23,6,16,20
true,8,1,5,15,20,11
true,13,23,10,1,20,7
true,2,18,12,9,15,6
true,21,18,24,12,9,4
true,15,18,21,11,4,1
true,4,20,15,10,7,1
true,1,17,22,5,8,12
true,5,13,24,10,17,20
true,16,19,4,24,10,7
true,16,3,6,24,13,10
true,23,15,12,19,3,8
true,10,6,24,21,3,18
true,4,11,8,22,19,15
true,24,21,18,2,9,6
true,22,1,14,5,11,8
true,18,22,1,11,15,5
true,16,1,11,8,19,4
true,21,18,2,14,6,24
true,2,22,5,19,11,8
true,18,9,24,14,4,21
true,15,12,8,5,24,1
true,23,6,15,20,11,1
true,6,16,13,1,24,19
true,4,8,22,19,11,16
true,10,14,4,7,17,24
true,9,23,12,2,20,6
true,5,12,23,2,9,20
true,14,23,20,3,17,9
true,9,24,4,12,16,1
true,6,14,22,17,2,9
true,18,15,24,1,6,9
true,19,6,12,1,22,15
true,22,11,2,8,19,14
true,3,19,24,6,15,11
true,2,20,9,6,23,15
true,12,1,23,5,15,19
true,7,10,3,19,14,22
true,16,9,12,23,20,1
true,6,10,3,16,23,20
true,16,9,24,20,1,4
true,3,24,19,16,10,7
true,9,3,18,21,15,12
true,9,16,19,12,6,3
true,24,3,10,16,20,7
true,17,10,22,14,5,1
true,9,23,3,15,6,12
true,1,6,14,9,20,17
true,5,23,18,14,8,1
true,1,21,5,18,9,12
true,24,14,11,21,1,18
true,13,19,16,23,7,3
true,1,8,14,22,19,4
true,10,18,14,1,23,4
true,5,1,8,24,21,11
true,24,3,21,14,18,9
true,21,2,24,14,5,8
true,19,8,1,13,22,16
true,24,11,14,8,20,17
true,14,24,10,18,3,6
true,24,2,8,5,14,18
true,11,24,19,15,5,2
true,13,23,20,5,1,9
true,12,21,4,18,24,8
true,5,24,19,2,16,10
true,4,14,23,19,1,7
true,2,5,9,15,24,12
true,15,6,20,24,12,9
true,5,15,12,2,8,19
true,20,1,9,24,15,12
true,15,10,24,19,3,7
true,8,12,24,2,20,17
true,22,10,19,7,1,13
true,5,16,2,24,9,21
true,14,22,8,11,17,3
true,24,7,17,11,14,1
true,22,7,15,2,18,12
true,11,3,8,24,21,14
true,1,23,6,12,15,9
true,23,1,7,4,17,10
true,17,6,1,24,11,14
true,24,17,5,13,20,9
true,1,17,4,23,13,7
true,20,16,23,12,1,8
true,11,15,20,1,8,23
true,17,9,20,24,5,14
true,11,24,7,19,14,4
true,24,21,10,17,13,4
true,10,23,20,13,6,3
true,4,1,19,23,16,10
true,23,20,12,6,15,9
true,3,17,11,6,14,22
true,13,6,3,19,9,24
true,24,11,5,8,2,20
true,14,3,6,24,10,21
true,7,14,19,1,10,24
