concept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
true,7,4,30,32,20,28,1,34,36,18,22,25
true,24,22,33,14,29,6,8,2,12,26,36,19
true,27,25,18,12,34,6,21,16,29,23,36,31
true,14,33,17,29,19,23,21,1,4,27,36,6
true,36,2,20,17,27,32,6,29,10,22,4,13
true,9,21,33,36,7,29,26,11,14,1,17,19
true,9,35,12,28,24,30,20,6,32,14,26,4
true,35,23,19,32,1,29,11,8,25,5,27,3
true,23,35,30,18,8,13,28,11,21,26,33,5
true,8,22,25,12,14,27,18,16,31,10,6,34
true,10,17,6,20,27,22,15,13,8,36,29,2
true,14,12,27,18,33,29,16,4,36,25,10,31
true,33,1,14,24,35,12,5,27,3,21,10,31
true,22,6,13,8,24,16,33,35,19,11,30,26
true,17,10,7,1,32,36,5,29,3,27,13,20
true,15,33,31,26,21,13,9,17,24,28,19,4
true,4,7,13,19,9,35,17,15,26,28,21,1
true,27,31,25,15,7,22,2,20,17,33,35,4
true,2,10,36,14,34,12,29,16,26,20,7,5
true,31,2,5,29,26,33,18,7,22,16,13,36
true,12,14,3,8,1,20,36,25,17,29,31,33
true,12,29,35,7,14,25,16,18,2,5,20,31
true,1,21,5,3,25,13,36,23,11,9,29,27
true,33,7,14,3,9,31,16,35,1,11,28,19
true,20,32,9,34,22,24,30,7,36,17,14,2
true,1,3,22,15,24,27,17,30,33,6,12,20
true,15,22,11,9,17,7,13,20,25,29,36,1
true,8,30,5,26,2,14,36,24,34,11,19,32
true,11,17,2,19,8,21,25,14,35,32,23,30
true,10,12,31,19,14,7,2,27,36,29,16,33
true,14,11,35,31,1,26,33,7,17,29,22,3
true,8,2,27,29,4,14,17,32,11,36,25,19
true,26,8,36,14,32,30,10,19,1,24,17,28
true,5,11,22,3,33,14,31,19,17,8,26,29
true,32,12,22,20,36,1,5,3,17,8,26,28
false,24,9,34,2,19,27,12,22,28,1,22,12
false,29,31,23,23,23,28,22,20,14,31,3,30
false,18,30,21,1,12,25,3,31,3,29,34,4
false,11,31,2,32,36,5,5,19,36,26,9,17
false,8,26,14,16,2,23,20,26,13,19,33,33
false,1,2,28,21,27,24,22,18,16,25,20,7
false,8,13,22,4,16,17,3,33,33,30,26,3
false,27,19,13,21,5,8,36,6,10,24,3,5
false,17,6,21,8,31,32,10,10,2,21,23,6
false,25,4,35,35,18,36,35,21,27,27,30,11
false,16,15,19,7,24,18,7,27,33,7,34,21
false,17,25,7,4,7,12,1,24,24,4,35,34
false,25,9,21,14,12,20,25,10,32,18,28,4
false,29,20,1,35,3,18,6,29,3,3,30,4
false,1,27,29,2,13,15,15,35,10,18,31,15
false,18,29,4,19,36,13,26,9,14,31,20,35
false,24,5,22,15,10,26,18,2,6,22,3,2
false,24,15,31,29,5,9,34,26,5,17,33,33
false,12,24,36,32,2,26,19,34,17,1,12,17
false,16,13,17,18,30,13,33,3,16,9,5,9
false,27,17,33,25,12,23,30,5,16,34,9,4
false,28,26,14,20,15,13,14,33,7,33,24,14
false,35,28,27,23,22,20,22,18,12,4,3,12
false,1,28,25,28,14,13,34,32,2,32,3,20
false,35,26,4,31,14,4,1,30,22,27,22,30
false,29,3,6,10,10,20,23,30,30,16,15,8
false,20,26,5,16,29,22,24,30,28,7,11,20
false,28,10,22,33,15,13,21,31,36,7,26,31
false,10,9,8,35,20,1,25,16,3,28,31,13
false,30,22,15,8,19,4,15,11,26,10,2,30
false,1,28,5,6,34,22,29,3,13,32,4,24
false,15,36,6,8,22,28,34,23,36,3,36,18
false,2,12,10,10,4,21,20,2,22,13,26,15
false,31,25,35,15,13,11,8,31,7,16,3,31
false,35,27,22,1,26,11,28,4,23,21,35,30
false,8,22,27,31,13,6,1,7,9,18,8,8
false,26,13,29,29,18,28,24,20,36,33,6,24
false,23,15,36,19,34,10,12,35,11,1,30,14
false,33,32,27,1,19,3,6,2,32,10,7,5
false,4,20,25,23,7,2,12,27,10,9,30,23
false,35,14,10,21,16,31,3,27,3,6,9,25
false,11,6,36,26,10,4,3,34,1,18,7,31
false,14,30,18,31,24,23,9,18,21,4,15,28
false,33,20,31,8,13,6,24,4,25,31,1,18
false,15,32,31,7,14,9,35,9,26,25,5,27
false,22,6,14,15,10,2,29,28,36,30,24,14
false,1,31,30,6,27,16,33,17,29,32,9,13
false,18,16,31,18,22,30,22,13,24,23,11,15
false,36,9,1,3,25,25,4,27,15,27,16,17
false,8,23,3,29,1,22,33,33,6,34,1,35
false,26,25,9,1,35,11,11,11,31,17,16,2
false,4,11,35,20,16,32,9,7,2,29,5,22
false,26,14,16,30,28,35,36,28,4,25,21,12
false,10,24,15,18,14,16,7,8,10,9,15,5
false,28,4,22,8,25,15,2,18,25,25,22,17
false,7,8,34,14,15,21,13,3,1,34,21,9
false,20,23,34,24,17,5,19,32,11,2,20,29
false,31,24,27,34,32,16,29,25,6,8,9,20
false,3,12,25,10,16,9,15,15,26,14,10,35
false,5,11,36,34,9,2,4,20,3,20,34,13
false,29,27,25,30,35,2,22,33,1,18,3,22
false,10,25,14,31,1,24,20,10,28,17,6,35
false,3,4,8,7,19,18,6,27,24,33,14,24
false,16,8,23,11,3,20,23,35,4,7,34,35
false,4,20,23,23,6,4,34,26,20,31,20,2
false,14,28,11,18,9,34,8,11,19,29,4,35
false,27,17,4,5,6,19,33,24,21,27,7,11
false,35,10,2,6,20,24,1,6,35,13,5,11
false,23,13,3,21,2,35,26,7,5,36,32,13
false,9,19,24,26,7,16,15,26,17,7,25,11
false,16,4,14,14,21,35,19,7,15,6,32,27
false,6,34,10,10,31,23,33,25,35,3,21,20
false,30,15,3,24,13,3,15,20,32,4,11,27
false,25,17,6,32,17,28,20,16,36,6,14,22
false,22,2,2,7,9,3,19,13,20,35,4,12
false,29,8,19,4,23,6,32,20,18,8,21,10
false,8,13,11,28,29,1,5,7,24,21,15,16
false,30,10,4,15,13,10,29,36,10,10,29,14
false,31,11,27,29,2,15,20,29,11,9,36,5
false,7,16,2,36,27,9,2,7,23,25,26,32
false,33,17,19,8,13,19,32,3,17,10,15,7
false,18,11,7,6,29,25,21,25,3,35,16,34
false,16,25,33,4,12,6,16,11,4,15,12,31
false,17,25,2,33,21,10,36,35,12,34,18,22
false,35,17,20,25,6,15,14,4,18,2,17,14
false,11,10,35,3,23,30,10,32,7,16,17,13
false,25,26,33,35,6,28,9,29,14,23,36,17
false,12,31,15,23,3,19,1,35,2,22,15,30
false,25,36,15,2,13,1,27,11,28,4,11,15
false,34,7,29,12,25,25,17,31,9,9,26,27
false,5,26,10,30,3,9,10,21,36,29,11,16
false,1,7,27,18,31,6,18,5,10,26,26,24
false,34,20,28,33,10,24,17,26,21,26,20,19
false,27,3,8,13,4,3,8,34,32,17,21,31
false,3,33,7,8,22,23,16,15,24,1,7,9
false,30,32,4,17,13,2,30,21,7,33,11,34
false,30,27,20,20,3,9,16,2,5,3,2,21
false,2,19,26,29,6,32,24,28,8,8,25,32
false,18,18,1,12,35,29,32,10,18,9,31,30
false,17,10,4,3,15,7,32,15,13,29,28,8
